result_type,pct_of_outcomes,red_meter,blue_meter,tko_threshold,punch_ko_threshold,bout_length,meter_max,fight_allows_draw
blue corner ko,13.3,0,0,3,6,6,3,False
blue corner decision,37.2,0,0,3,6,6,3,False
draw,14.8,1,0,3,6,6,3,True
red corner ko,30.8,1,0,3,6,6,3,True
red corner decision,35.6,1,0,3,6,6,3,True
blue corner ko,5.3,1,0,3,6,6,3,True
blue corner decision,13.4,1,0,3,6,6,3,True
draw,0.0,1,0,3,6,6,3,False
red corner ko,30.8,1,0,3,6,6,3,False
red corner decision,41.8,1,0,3,6,6,3,False
blue corner ko,5.3,1,0,3,6,6,3,False
blue corner decision,22.1,1,0,3,6,6,3,False
draw,8.7,1,-1,3,6,6,3,True
red corner ko,51.6,1,-1,3,6,6,3,True
red corner decision,31.7,1,-1,3,6,6,3,True
blue corner ko,2.4,1,-1,3,6,6,3,True
blue corner decision,5.5,1,-1,3,6,6,3,True
draw,0.0,1,-1,3,6,6,3,False
red corner ko,51.6,1,-1,3,6,6,3,False
red corner decision,34.8,1,-1,3,6,6,3,False
blue corner ko,2.4,1,-1,3,6,6,3,False
blue corner decision,11.2,1,-1,3,6,6,3,False
